ISOLATE,collection_date,ST,cgT
2023-001363,2023-01-06,180,411
2023-001701,2023-01-10,11,33
2023-001945,2023-01-09,11,33
2023-001987,2023-01-09,180,411
2023-002063,2023-01-12,11,135
2023-002563,2023-01-16,11,33
2023-002769,2023-01-14,3347,2114
2023-002771,2023-01-15,11,2128
2023-002883,2023-01-19,11,33
2023-002884,2023-01-16,11,2119
2023-002976,2023-01-16,11,2125
2023-002975,2023-01-20,11,33
2023-003116,2023-01-21,11,2119
2023-003114,2023-01-21,11,2119
2023-003170,2023-01-22,11,2204
2023-003348,2023-01-24,11,2125
2023-003569,2023-01-26,11,2090
2023-002770,2023-01-14,3347,2114
2023-003826,2023-01-26,11,33
2023-003925,2023-01-25,11,33
2023-004134,2023-01-20,11,2128
2023-004263,2023-02-01,11,2090
2023-004268,2023-01-30,11,33
2023-004284,2023-02-02,11,2130
2023-004936,2023-02-07,11,2125
2023-005562,2023-02-11,11,2090
2023-005715,2023-02-13,11,135
2023-005749,2023-02-10,-,279
2023-005821,2023-02-08,11,33
2023-005822,2023-02-14,11,2189
2023-005913,2023-02-14,11,33
2023-005930,2023-02-10,11,135
2023-006831,2023-02-20,11,2125
2023-007042,2023-02-21,11,33
2023-007349,2023-02-21,11,33
2023-007402,2023-02-27,1925,159
2023-007584,2023-02-28,11,2132
2023-007785,2023-02-28,11,2125
2023-007818,2023-03-03,11,2189
2023-008215,2023-03-06,11,287
2023-008335,2023-03-07,11,33
2023-009354,2023-03-17,11,2125
2023-009499,2023-03-10,11,33
2023-009507,2023-03-14,11,2204
2023-009880,2023-03-20,11,2203
2023-009889,2023-03-19,11,33
2023-010031,2023-03-13,11,462
2023-010070,2023-03-20,11,2128
2023-010113,2023-03-20,11,2125
2023-010446,2023-03-24,11,33
2023-010613,2023-03-27,11,780
2023-010921,2023-03-28,11,33
2023-011003,2023-03-30,11,2090
2023-011220,2023-03-30,1925,159
2023-011640,2023-04-06,-,365
